# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   73       2.608087577225e-10       4.951971058978e-14      -9.481358825257e-13       2.182301068868e-16       2.246082871132e-11       2.672983099025e-12      -9.645082376217e-15 
   74       2.641803942414e-10       5.137848648707e-14      -1.013226288529e-12       2.242673740660e-16       2.173437713685e-11       2.599276270906e-12      -9.436222346014e-15 
   75       2.675855497076e-10       5.326333332613e-14      -1.079883327086e-12       2.303870666760e-16       2.103901564370e-11       2.528797639252e-12      -9.209756735028e-15 
   76       2.710243355330e-10       5.517289167872e-14      -1.148055357931e-12       2.365893325016e-16       2.037376348832e-11       2.461386520338e-12      -8.975673870829e-15 
   77       2.744964141075e-10       5.710572442249e-14      -1.217686529709e-12       2.428743378757e-16       1.973708746093e-11       2.396817735239e-12      -8.745039552579e-15 
   78       2.780009745863e-10       5.906031554462e-14      -1.288716704680e-12       2.492422683855e-16       1.912687743395e-11       2.334798819926e-12      -8.530031733337e-15 
   79       2.815367086772e-10       6.103506894541e-14      -1.361081383419e-12       2.556933295792e-16       1.854042191047e-11       2.274967235343e-12      -8.343975202356e-15 
   80       2.851023470919e-10       6.302836238539e-14      -1.434717434894e-12       2.622277425345e-16       1.797508141989e-11       2.216980196754e-12      -8.198204862061e-15 
   81       2.886984294592e-10       6.503872274785e-14      -1.509581598356e-12       2.688457281240e-16       1.743049717754e-11       2.160808265454e-12      -8.091951913296e-15 
   82       2.923257990236e-10       6.706467917196e-14      -1.585635072183e-12       2.755475212944e-16       1.690672315332e-11       2.106487889645e-12      -8.020756333368e-15 
   83       2.959850556651e-10       6.910471044026e-14      -1.662838025619e-12       2.823333765631e-16       1.640355094218e-11       2.054032255646e-12      -7.979458600169e-15 
   84       2.996765420692e-10       7.115724480352e-14      -1.741149630975e-12       2.892035686295e-16       1.592049823569e-11       2.003430213142e-12      -7.962175644749e-15 
   85       3.034003298962e-10       7.322065980549e-14      -1.820528095847e-12       2.961583929868e-16       1.545679729351e-11       1.954645200447e-12      -7.962276803888e-15 
   86       3.071562059515e-10       7.529328210777e-14      -1.900930695321e-12       3.031981665326e-16       1.501138341495e-11       1.907614169759e-12      -7.972359772670e-15 
