# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  103       3.752853746981e-10       1.098347485052e-13      -3.374041090840e-12       0.000000000000e+00       9.435813941244e-12       1.310622496128e-12      -6.974410155349e-15 
  104       3.795657286108e-10       1.117522646209e-13      -3.463164124597e-12       0.000000000000e+00       9.198119486215e-12       1.284321825107e-12      -6.901880670276e-15 
  105       3.838718375959e-10       1.136432853514e-13      -3.552129781825e-12       0.000000000000e+00       8.968475953820e-12       1.258800401747e-12      -6.831149783283e-15 
  106       3.882029299778e-10       1.155058991863e-13      -3.640866331563e-12       0.000000000000e+00       8.746533408148e-12       1.234030924484e-12      -6.761836374877e-15 
  107       3.925580698052e-10       1.173381845314e-13      -3.729301133741e-12       0.000000000000e+00       8.531860251714e-12       1.209978010361e-12      -6.693511709188e-15 
  108       3.969361512161e-10       1.191382104487e-13      -3.817360660652e-12       0.000000000000e+00       8.323940751238e-12       1.186597942609e-12      -6.625698107451e-15 
  109       4.013358928029e-10       1.209040373965e-13      -3.904970518409e-12       0.000000000000e+00       8.122172563412e-12       1.163838418224e-12      -6.557867621484e-15 
  110       4.057560615448e-10       1.226337655687e-13      -3.992056194203e-12       0.000000000000e+00       7.926002519681e-12       1.141651190957e-12      -6.489564698036e-15 
  111       4.101961892687e-10       1.243256853576e-13      -4.078545360688e-12       0.000000000000e+00       7.735359039407e-12       1.120032380828e-12      -6.420794859919e-15 
  112       4.146559377609e-10       1.259781476213e-13      -4.164365908050e-12       0.000000000000e+00       7.550270683317e-12       1.098986874962e-12      -6.351683516544e-15 
  113       4.191348740551e-10       1.275895189996e-13      -4.249445272853e-12       0.000000000000e+00       7.370731738749e-12       1.078515769083e-12      -6.282356312948e-15 
  114       4.236324670539e-10       1.291581831216e-13      -4.333710466642e-12       0.000000000000e+00       7.196701104237e-12       1.058616241822e-12      -6.212939021858e-15 
  115       4.281480841496e-10       1.306825418133e-13      -4.417088104536e-12       0.000000000000e+00       7.028101174098e-12       1.039281429035e-12      -6.143557435750e-15 
  116       4.326809878456e-10       1.321610163055e-13      -4.499504433831e-12       0.000000000000e+00       6.864816723017e-12       1.020500298115e-12      -6.074337258915e-15 
  117       4.372303323771e-10       1.335920484414e-13      -4.580885362597e-12       0.000000000000e+00       6.706693790633e-12       1.002257522309e-12      -6.005403999521e-15 
  118       4.417951603326e-10       1.349741018846e-13      -4.661156488277e-12       0.000000000000e+00       6.553538566125e-12       9.845333550252e-13      -5.936882861674e-15 
  119       4.463743992748e-10       1.363056633263e-13      -4.740243126286e-12       0.000000000000e+00       6.405116272799e-12       9.673035041552e-13      -5.868898637486e-15 
  120       4.509668583617e-10       1.375852436938e-13      -4.818070338608e-12       0.000000000000e+00       6.261150052670e-12       9.505390063824e-13      -5.801575599133e-15 
  121       4.555712249677e-10       1.388113793575e-13      -4.894562962399e-12       0.000000000000e+00       6.121319851052e-12       9.342061014981e-13      -5.735037390921e-15 
  122       4.601860613049e-10       1.399826333392e-13      -4.969645638579e-12       0.000000000000e+00       5.985261301141e-12       9.182661067151e-13      -5.669406921347e-15 
  123       4.648099720881e-10       1.410976441855e-13      -5.043243651385e-12       0.000000000000e+00       5.852644354584e-12       9.026839742299e-13      -5.604781545501e-15 
  124       4.694421365394e-10       1.421552763752e-13      -5.115285495294e-12       0.000000000000e+00       5.723421777468e-12       8.874553448110e-13      -5.541155613885e-15 
  125       4.740818314181e-10       1.431544895476e-13      -5.185700658262e-12       0.000000000000e+00       5.597607232862e-12       8.725823797843e-13      -5.478488781004e-15 
  126       4.787282634385e-10       1.440942939506e-13      -5.254418871806e-12       0.000000000000e+00       5.475197608841e-12       8.580652993836e-13      -5.416729618839e-15 
  127       4.833805672368e-10       1.449737520234e-13      -5.321370145985e-12       0.000000000000e+00       5.356172530501e-12       8.439023253826e-13      -5.355815314495e-15 
  128       4.880378033380e-10       1.457919799795e-13      -5.386484804376e-12       0.000000000000e+00       5.240493871971e-12       8.300896237269e-13      -5.295671367856e-15 
  129       4.926989561226e-10       1.465481493889e-13      -5.449693519060e-12       0.000000000000e+00       5.128105268424e-12       8.166212471666e-13      -5.236211289232e-15 
  130       4.973629317934e-10       1.472414887616e-13      -5.510927345593e-12       0.000000000000e+00       5.018931628093e-12       8.034890778884e-13      -5.177336297016e-15 
  131       5.020285563426e-10       1.478712851298e-13      -5.570117757989e-12       0.000000000000e+00       4.912878644283e-12       7.906827701476e-13      -5.118935015332e-15 
  132       5.066945735184e-10       1.484368856309e-13      -5.627196683700e-12       0.000000000000e+00       4.809832307380e-12       7.781896929005e-13      -5.060883171690e-15 
  133       5.113596427920e-10       1.489376990903e-13      -5.682096538593e-12       0.000000000000e+00       4.709658416872e-12       7.659948724367e-13      -5.003043294635e-15 
  134       5.160223373245e-10       1.493731976039e-13      -5.734750261930e-12       0.000000000000e+00       4.612202093353e-12       7.540809350109e-13      -4.945264411400e-15 
  135       5.206811419334e-10       1.497429181211e-13      -5.785091351347e-12       0.000000000000e+00       4.517287290542e-12       7.424280494759e-13      -4.887381745557e-15 
  136       5.253344510599e-10       1.500464640278e-13      -5.833053897833e-12       0.000000000000e+00       4.424716307292e-12       7.310138699137e-13      -4.829216414671e-15 
  137       5.299807104110e-10       1.502835346486e-13      -5.878573296800e-12       0.000000000000e+00       4.334311738699e-12       7.198183633089e-13      -4.770613151979e-15 
