# z w_eff(z) cs2_fld(z)
1.07337813 -2.09015156 1.00000000
1.11105856 -2.08984800 1.00000000
1.15006176 -2.08954749 1.00000000
1.19043414 -2.08925065 1.00000000
1.23222378 -2.08895814 1.00000000
1.27548042 -2.08867066 1.00000000
1.32025556 -2.08838898 1.00000000
1.36660252 -2.08811390 1.00000000
1.41457646 -2.08784630 1.00000000
1.46423451 -2.08758714 1.00000000
1.51563578 -2.08733742 1.00000000
1.56884147 -2.08709822 1.00000000
1.62391492 -2.08687072 1.00000000
1.68092170 -2.08665616 1.00000000
1.73992967 -2.08645588 1.00000000
1.80100909 -2.08627129 1.00000000
1.86423267 -2.08610391 1.00000000
1.92967569 -2.08595533 1.00000000
1.99741606 -2.08582723 1.00000000
2.06753442 -2.08572134 1.00000000
2.14011425 -2.08563946 1.00000000
2.21524197 -2.08558343 1.00000000
2.29300700 -2.08555507 1.00000000
2.37350194 -2.08555617 1.00000000
2.45682262 -2.08558840 1.00000000
2.54306824 -2.08565329 1.00000000
2.63234146 -2.08575205 1.00000000
2.72474858 -2.08588553 1.00000000
2.82039961 -2.08605401 1.00000000
2.91940843 -2.08625706 1.00000000
3.02189290 -2.08649332 1.00000000
3.12797504 -2.08676024 1.00000000
3.23778115 -2.08705386 1.00000000
3.35144195 -2.08736844 1.00000000
3.46909276 -2.08769626 1.00000000
3.59087364 -2.08802730 1.00000000
3.71692959 -2.08834907 1.00000000
3.84741067 -2.08864643 1.00000000
3.98247223 -2.08890169 1.00000000
4.12227506 -2.08909480 1.00000000
4.26698561 -2.08920389 1.00000000
4.41677615 -2.08920599 1.00000000
4.57182502 -2.08907821 1.00000000
4.73231680 -2.08879909 1.00000000
4.89844258 -2.08835023 1.00000000
5.07040012 -2.08771800 1.00000000
5.24839416 -2.08689515 1.00000000
5.43263659 -2.08588210 1.00000000
5.62334677 -2.08468775 1.00000000
5.82075173 -2.08332947 1.00000000
6.02508651 -2.08183249 1.00000000
6.23659437 -2.08022832 1.00000000
6.45552710 -2.07855269 1.00000000
6.68214538 -2.07684312 1.00000000
6.91671898 -2.07513632 1.00000000
